id,name,name_norm,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,base_total,height,weight,abilities,sprite_png,sprite_svg,generation,legendary,weak_to,resist_to,immune_to
1,bulbasaur,bulbasaur,grass,poison,45,49,49,65,65,45,318,7,69,"overgrow,chlorophyll",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/1.svg,,,"fire, flying, ice, psychic","electric, fairy, fighting, grass, water",
2,ivysaur,ivysaur,grass,poison,60,62,63,80,80,60,405,10,130,"overgrow,chlorophyll",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/2.svg,,,"fire, flying, ice, psychic","electric, fairy, fighting, grass, water",
3,venusaur,venusaur,grass,poison,80,82,83,100,100,80,525,20,1000,"overgrow,chlorophyll",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/3.svg,,,"fire, flying, ice, psychic","electric, fairy, fighting, grass, water",
4,charmander,charmander,fire,nan,39,52,43,60,50,65,309,6,85,"blaze,solar-power",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/4.svg,,,"ground, rock, water","bug, fairy, fire, grass, ice, steel",
5,charmeleon,charmeleon,fire,nan,58,64,58,80,65,80,405,11,190,"blaze,solar-power",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/5.svg,,,"ground, rock, water","bug, fairy, fire, grass, ice, steel",
6,charizard,charizard,fire,flying,78,84,78,109,85,100,534,17,905,"blaze,solar-power",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/6.svg,,,"electric, rock, water","bug, fairy, fighting, fire, grass, steel",ground
7,squirtle,squirtle,water,nan,44,48,65,50,64,43,314,5,90,"torrent,rain-dish",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/7.svg,,,"electric, grass","fire, ice, steel, water",
8,wartortle,wartortle,water,nan,59,63,80,65,80,58,405,10,225,"torrent,rain-dish",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/8.svg,,,"electric, grass","fire, ice, steel, water",
9,blastoise,blastoise,water,nan,79,83,100,85,105,78,530,16,855,"torrent,rain-dish",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/9.svg,,,"electric, grass","fire, ice, steel, water",
10,caterpie,caterpie,bug,nan,45,30,35,20,20,45,195,3,29,"shield-dust,run-away",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/10.svg,,,"fire, flying, rock","fighting, grass, ground",
